Household Name,First Name,Last Name,Account Type ,Custodian,Phone #,Email,Address,SSN#,DOB,Occupation,Employer,Client Tax Bracket,Estimated Liquid Net Worth,Estimated Total Net Worth,Annual income,Years of Experience - Bonds,Years of Experience - Stocks,Years of Experience - Alternatives,Years of Expience - VAs,Years of Experience - Mutual Funds,Years of Experience - Options,Years of Experience - Partnerships,Primary Investment Objective,Risk Tolerance,Time Horizon,Account Decision Making,Source of Funds,Primary Use of Funds,Liquidity Needs,Liquidity Time Horizon,Drivers License/ID # ,Drivers License/ID State,Drivers License/ID Issue Date,Drivers License/ID Expiration Date,Marital Status ,Bank Name,Bank Type - Checking/Savings,Account No,Beneficiary 1 Name,Beneficiary 1  %,Beneficiary 1 DOB,Beneficiary 2 Name,Beneficiary 2 %,Beneficiary 2 DOB
Steve and Michelle Eggebraaten,Steve,Eggebraaten,Trust (joint w/ Michelle),,9977221122,s@gmial.com,52 S Wosedge Trail Sioux Falls SD 57108,123-12-1234,1/11/1968,General Manager,Vern Eide Motorcars,25%,"$1,000,000","$1,700,000","$150,000",30,30,0,0,30,0,0,Growth w/income,,,Consults with investment professional,Savings,,None,None,,,,,Married,HDFC,Savings,864219753,Jane Eggebraaten,100,30/12/1995,,,
Steve and Michelle Eggebraaten,Steve,Eggebraaten,IRA,,9977221122,s@gmial.com,52 S Wosedge Trail Sioux Falls SD 57108,123-12-1234,1/11/1968,,,25%,"$1,000,000","$1,700,000","$150,000",30,30,0,0,30,0,0,Growth w/income,,,Consults with investment professional,Savings,,None,None,,,,,,,,,,,,,,
Steve and Michelle Eggebraaten,Steve,Eggebraaten,Individual TOD,,9977221122,s@gmial.com,52 S Wosedge Trail Sioux Falls SD 57108,123-12-1234,1/11/1968,,,25%,"$1,000,000","$1,700,000","$150,000",30,30,0,0,30,0,0,Growth w/income,,,Consults with investment professional,Savings,,None,None,,,,,,,,,,,,,,
Steve and Michelle Eggebraaten,Michelle,Eggebraaten,Trust (joint w/ Steve),,9977221123,m@gmail.com,52 S Wosedge Trail Sioux Falls SD 57108,124-12-2345,3/3/1971,,,25%,"$1,000,000","$1,700,000",$0,30,30,0,0,30,0,0,Growth w/income,,,Consults with investment professional,Savings,,None,None,,,,,Married,,,,,,,,,
Sahay,Abi,Sahay,IRA,,3451241341,k@gmail.com, 170 S Crestwood Rd Suttons Bay MI 12342,125-12-2345,,,,15%,"$1,800,000","$4,000,000","$75,000",40,40,0,0,40,0,0,,,,,,,,,,,,,Single,HDFC,Checking,999110022,,,,,,
Sahay,Abi,Sahay,Individual,,3451241341,k@gmail.com, 170 S Crestwood Rd Suttons Bay MI 12342,125-12-2345,,,,15%,"$1,800,000","$4,000,000","$75,000",40,40,0,0,40,0,0,,,,,,,,,,,,,Single,,,,,,,,,
Sahay,Abi,Sahay,UGMAx3,,3451241341,k@gmail.com, 170 S Crestwood Rd Suttons Bay MI 12342,125-12-2345,,,,15%,"$1,800,000","$4,000,000","$75,000",40,40,0,0,40,0,0,,,,,,,,,,,,,Single,,,,,,,,,
Nate Kuchta,Nate,Kuchta,SEP IRA,,,p.v+1@gmail.com,"12 S Main Ave, Sioux Falls, SD 57105",504-98-1111,,Business Owner,360 Headhunter,Highest,"$1,500,000","$3,000,000","$500,000",20,20,0,0,20,0,15,,,,,,,,,,,,,,,,,,,,,,
Nate Kuchta,ELLIE,Kuchta,Ellie Roth IRA,,,p.v+2@gmail.com,"12 S Main Ave, Sioux Falls, SD 57105",111-22-1111,10/7/2002,Business Specialist,Avera Health,22%,"$50,000","$50,000","$50,000",5,5,0,0,5,0,5,Growth w/income,Moderate,10+,Consults with Investment Professional,Savings,Retirement,None,None,999777111,Delaware,20/12/2020,1/12/2030,,,,,,,,,,
Nate Kuchta,JAEDON,Kuchta,Jaedon Roth IRA,,,pv+3@gmail.com,"12 S Main Ave, Sioux Falls, SD 57105",222-33-3333,20/8/2000,Metal Fabricator/Welder,Hanson Manufacturing,22%,"$50,000","$50,000","$50,000",5,5,0,0,5,0,5,Growth w/income,Moderate,10+,Consults with Investment Professional,Savings,Retirement,None,None,999777112,Delaware,20/12/2022,19/12/2032,,,,,,,,,,
Nate Kuchta,JAEDON,Kuchta,Jaedon Rollover IRA,,,p.v+1@gmail.com,"12 S Main Ave, Sioux Falls, SD 57105",222-33-3333,20/8/2000,Metal Fabricator/Welder,Hanson Manufacturing ,22%,"$50,000","$50,000","$50,000",5,5,0,0,5,0,5,Growth w/income,Moderate,10+,Consults with Investment Professional,Savings,Retirement,None,None,,,,,,,,,,,,,,
Nate Kuchta,Nate,Kuchta,Direct 401k,,,p.v+2@gmail.com,"12 S Main Ave, Sioux Falls, SD 57105",333-44-5555,11/01/1999,,,22%,"$1,500,000","$3,000,000","$500,000",20,20,0,0,20,0,15,,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,James,Lather,Individual TOD,,,pv+3@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,6/11/1967,Business Owner,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,James,Lather,Rollover IRA,,,p.v+1@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,6/11/1967,Business Owner,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,James ,Lather,SIMPLE IRA,,,p.v+2@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,6/11/1967,Business Owner,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,James,Lather,JTWROS (Deborah Lather),,8878988761,pv+3@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,6/11/1967,Business Owner,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,44i,,Business Account,,,p.v+1@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,,,,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,44i,Lather,Individual TOD ,,,p.v+2@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,Deborah,Lather,IRA,,,pv+3@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,Deborah,Lather,Roth IRA,,,p.v+1@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,Deborah,Lather,Bene IRA (Eugene Kammerer),,,p.v+2@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,Deborah,Lather,Bene Roth IRA (Eugene Kammerer),,,pv+3@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,Deborah,Lather,Landrie Willis 529,,,p.v+1@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,Deborah,Lather,Cambri Willis 529,,,p.v+2@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,Deborah,Lather,Annabelle Kerkove 529,,,pv+3@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,Deborah,Lather,Everly Willis 529,,,p.v+1@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,Deborah,Lather,Joseph Willis 529,,,p.v+2@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jim and Deb Lather,Deborah,Lather,Kinsley Willis 529,,,pv+3@gmail.com,"1602 S Western Ave, Sioux Falls, SD 57105",,5/4/1964,Business Owner ,44i Inc,37%,"$2,000,000","$10,000,000","$500,000",30,30,10,0,30,0,20,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Chris and Mandy Lidel,Christopher,Lidel,Joint RMA (Amanda Lidel) Starwood REIT,Goldman,,p.v+1@gmail.com,"7820 S McMartin Ave, Sioux Falls, SD 57108",,17/5/1981,President/CEO,Lidel Construction,Highest,"$2,000,000","$4,000,000","$500,000",20,20,10,0,20,0,10,,,,,,,,,,,,,,,,,,,,,,
Chris and Mandy Lidel,Christopher,Lidel,Roth IRA,NES,,p.v+2@gmail.com,"7820 S McMartin Ave, Sioux Falls, SD 57108",,,,,Highest,"$2,000,000","$4,000,000","$500,000",20,20,10,0,20,0,10,,,,,,,,,,,,,,,,,,,,,,
Chris and Mandy Lidel,Christopher,Lidel,Traditional IRA,NES,,pv+3@gmail.com,"7820 S McMartin Ave, Sioux Falls, SD 57108",,,,,Highest,"$2,000,000","$4,000,000","$500,000",20,20,10,0,20,0,10,,,,,,,,,,,,,,,,,,,,,,
Chris and Mandy Lidel,Christopher,Lidel,American Funds 401(k) ,,,p.v+1@gmail.com,"7820 S McMartin Ave, Sioux Falls, SD 57108",,,,,Highest,"$2,000,000","$4,000,000","$500,000",20,20,10,0,20,0,10,,,,,,,,,,,,,,,,,,,,,,
Chris and Mandy Lidel,Amanda,Lidel,Joint RMA (Chris Lidel) Starwood REIT,Goldman,,p.v+2@gmail.com,"7820 S McMartin Ave, Sioux Falls, SD 57108",,11/2/1985,HR/Marketing,Lidel Construction,Highest,"$2,000,000","$4,000,000","$500,000",20,20,10,0,20,0,10,,,,,,,,,,,,,,,,,,,,,,
Chris and Mandy Lidel,Amanda,Lidel,Roth IRA,NES,,pv+3@gmail.com,"7820 S McMartin Ave, Sioux Falls, SD 57108",,,,,Highest,"$2,000,000","$4,000,000","$500,000",20,20,10,0,20,0,10,,,,,,,,,,,,,,,,,,,,,,
Chris and Mandy Lidel,Amanda,Lidel,529 (Lauryn),,,p.v+1@gmail.com,"7820 S McMartin Ave, Sioux Falls, SD 57108",,21/3/2007,,,Highest,"$2,000,000","$4,000,000","$500,000",20,20,10,0,20,0,10,,,,,,,,,,,,,,,,,,,,,,
Anderson2,Derek,Andersen,,,,p.v+2@gmail.com,"3701 S Glendale Ave, Tea SD 57064",,27/1/2007,Child,,30%,"$1,200,000","$2,000,000","$200,000",,20,10,0,20,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Anderson2,Ava,Andersen,,,,pv+3@gmail.com,"3701 S Glendale Ave, Tea SD 57064",,15/6/2009,Child,,30%,"$1,200,000","$2,000,000","$200,000",,20,10,0,20,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Anderson2,Addy,Andersen,,,,p.v+1@gmail.com,"3701 S Glendale Ave, Tea SD 57064",,18/2/2015,Child,,30%,"$1,200,000","$2,000,000","$200,000",,20,10,0,20,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jared and Suzanne Andersen,Suzie,Andersen,,,,p.v+2@gmail.com,"3701 S Glendale Ave, Tea SD 57064",,,,,30%,"$1,200,000","$2,000,000","$70,000",20,20,10,0,20,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Stan and Barb Andersen,Stanley,Andersen,Joint RMA (Barb Anderson),Goldman,,pv+3@gmail.com,"29118 472nd Ave, Beresford SD 57004",,24/1/1950,Farmer,Self Employed,20%,"$1,300,000","$3,000,000","$75,000",45,45,10,0,45,0,0,,,,,,,,,,,,,,,,,,,,,,
